,Date_min,Date_max,S&P500_first,S&P500_last,No_of_days,S&P500_price,Return_on_investment,Year
172,2021-08-23,2021-09-09,447.260009765625,448.9800109863281,17 days,1.720001220703125,-0.384564052932987,2021
177,2021-09-17,2021-10-07,441.3999938964844,438.6600036621094,20 days,-2.739990234375,0.6207499484056456,2021
180,2021-10-14,2021-10-18,442.5,447.19000244140625,4 days,4.69000244140625,-1.0598875573799376,2021
184,2021-12-02,2021-12-06,457.3999938964844,458.7900085449219,4 days,1.3900146484375,-0.30389476759636125,2021
185,2021-12-07,2021-12-22,468.2799987792969,467.69000244140625,15 days,-0.589996337890625,0.12599221393794835,2021
188,2022-01-24,2022-01-28,439.8399963378906,441.95001220703125,4 days,2.110015869140625,-0.47972351007381064,2022
189,2022-01-31,2022-02-22,449.9100036621094,429.57000732421875,22 days,-20.339996337890625,4.520903330072727,2022
192,2022-03-01,2022-03-15,429.9800109863281,426.1700134277344,14 days,-3.80999755859375,0.8860871345749359,2022
193,2022-03-16,2022-03-25,435.6199951171875,452.69000244140625,9 days,17.07000732421875,-3.9185545924324856,2022
194,2022-04-05,2022-04-25,451.0299987792969,428.510009765625,20 days,-22.519989013671875,4.993013563315458,2022
195,2022-04-26,2022-05-02,416.1000061035156,414.4800109863281,6 days,-1.6199951171875,0.3893283089220887,2022
197,2022-05-04,2022-05-26,429.05999755859375,405.30999755859375,22 days,-23.75,5.535356391912686,2022
198,2022-05-27,2022-06-13,415.260009765625,375.0,17 days,-40.260009765625,9.695132885140552,2022
201,2022-06-16,2022-06-21,366.6499938964844,375.07000732421875,5 days,8.420013427734375,-2.2964717217782322,2022
202,2022-06-22,2022-06-29,374.3900146484375,380.3399963378906,7 days,5.949981689453125,-1.589246896726209,2022
203,2022-06-30,2022-07-06,377.25,383.25,6 days,6.0,-1.5904572564612351,2022
204,2022-07-07,2022-07-28,388.989990234375,406.07000732421875,21 days,17.08001708984375,-4.390862880443962,2022
206,2022-09-01,2022-09-21,396.4200134277344,377.3900146484375,20 days,-19.029998779296875,4.800463683644466,2022
207,2022-09-22,2022-10-03,374.2200012207031,366.6099853515625,11 days,-7.610015869140625,2.0335673786320427,2022
209,2022-10-06,2022-10-17,373.20001220703125,366.82000732421875,11 days,-6.3800048828125,1.7095403735606567,2022
210,2022-10-18,2022-10-24,371.1300048828125,378.8699951171875,6 days,7.739990234375,-2.085519934401134,2022
211,2022-12-16,2023-01-10,383.2699890136719,390.5799865722656,25 days,7.30999755859375,-1.9072710538609243,2022
216,2023-03-16,2023-03-31,396.1099853515625,409.3900146484375,15 days,13.280029296875,-3.3526115947540376,2023
